'1260',4.41,null
'1261',4.63,null
'1262',4.38,null
'1263',4.52,null
'1264',4.42,null
'1265',4.64,null
'1266',4.44,null
'1267',5.15,null
'1268',5.23,null
'1269',4.42,null
'1270',4.71,null
'1271',3.76,null
'1272',2.8,null
'1273',3.76,null
'1274',3.91,null
'1275',3.68,null
'1276',3.83,null
'1277',3.71,null
'1278',3.61,null
'1279',3.91,null
'1280',3.91,null
'1281',3.98,null
'1282',3.54,null
'1283',3.32,null
'1284',3.1,null
'1285',4.42,null
'1286',4.05,null
'1287',4.05,null
'1288',5.08,null
'1289',5.31,null
'1290',4.64,null
'1291',3.46,null
'1292',3.83,null
'1293',3.98,null
'1294',3.32,null
'1295',2.8,null
'1296',3.54,null
'1297',3.98,null
'1298',3.46,null
'1299',3.83,null
'1300',3.24,null
'1301',4.29,null
'1302',4.28,null
'1303',4.65,null
'1304',4.57,null
'1305',4.42,null
'1306',4.27,null
'1307',4.57,null
'1308',4.05,null
'1309',3.76,null
'1310',3.47,null
'1311',3.98,null
'1312',4.57,null
'1313',4.86,null
'1314',4.42,null
'1315',3.76,null
'1316',2.28,null
'1317',2.28,null
'1318',3.24,null
'1319',4.13,null
'1320',4.64,null
'1321',4.05,null
'1322',3.54,null
'1323',3.02,null
'1324',3.61,null
'1325',3.91,null
'1326',3.98,null
'1327',5.16,null
'1328',5.16,null
'1329',4.13,null
'1330',4.13,null
'1331',3.68,null
'1332',3.76,null
'1333',4.42,null
'1334',5.01,null
'1335',5.16,null
'1336',4.86,null
'1337',4.42,null
'1338',5.29,null
'1339',5.18,null
'1340',3.83,null
'1341',4.27,null
'1342',4.35,null
'1343',4.42,null
'1344',3.83,null
'1345',3.76,null
'1346',4.2,null
'1347',3.39,null
'1348',3.17,null
'1349',3.83,null
'1350',3.61,null
'1351',2.93,null
'1352',2.6,null
'1353',3.19,null
'1354',3.96,null
'1355',4.24,null
'1356',4.23,null
'1357',4.02,null
'1358',4.02,null
'1359',4.63,null
'1360',4.5,null
'1361',4.64,null
'1362',3.98,null
'1363',3.98,null
'1364',4.05,null
'1365',4.27,null
'1366',5.08,null
'1367',4.5,null
'1368',4.42,null
'1369',4.05,null
'1370',3.32,null
'1371',3.76,null
'1372',4.64,null
'1373',4.64,null
'1374',4.86,null
'1375',4.86,null
'1376',4.2,null
'1377',5.45,null
'1378',6.41,null
'1379',6.49,null
'1380',5.75,null
'1381',5.16,null
'1382',5.53,null
'1383',5.67,null
'1384',5.31,null
'1385',5.45,null
'1386',5.9,null
'1387',6.12,null
'1388',5.97,null
